ORCA_ID,Onset_Time_JW,Offset_Time_JW,Participant_JW,Handle_JW,Onset_Time_YZ,Offset_Time_YZ,Participant_YZ,Handle_YZ
2134,0,0,Child B,0,0,0,Child B,0
2145,00:10:52:00,00:10:53:08,Child A,CompleteDown_Blue,0,0,Child A,0
2145,00:10:57:26,00:10:58:28,Child A,CompleteDown_Blue,00:10:57:32,00:10:58:26,Child A,CompleteDown_Blue
2145,00:11:02:06,00:11:03:02,Child A,CompleteDown_Blue,00:11:02:12,00:11:03:00,Child A,CompleteDown_Blue
2145,00:11:05:22,00:11:06:22,Child A,CompleteDown_Blue,00:11:05:24,00:11:06:24,Child A,CompleteDown_Blue
2145,00:11:09:30,00:11:11:02,Child A,CompleteDown_Blue,00:11:09:34,00:11:11:00,Child A,CompleteDown_Blue
2145,00:11:15:04,00:11:16:28,Child A,CompleteDown_Blue,0,0,Child A,0
2145,00:11:19:44,00:11:21:36,Child A,CompleteDown_Blue,00:11:19:44,00:11:21:40,Child A,CompleteDown_Blue
2145,00:11:24:44,00:11:26:02,Child A,CompleteDown_Blue,00:11:24:44,00:11:26:02,Child A,CompleteDown_Blue
2145,00:11:30:04,00:11:30:10,Child A,CompleteDown_Blue,0,0,Child A,0
2145,00:11:47:40,00:11:48:26,Child A,CompleteDown_Green,00:11:47:42,00:11:48:26,Child A,CompleteDown_Green
2145,00:11:50:08,00:11:50:30,Child A,CompleteDown_Green,00:11:50:12,00:11:50:28,Child A,CompleteDown_Green
2145,00:12:00:36,00:12:01:02,Child A,CompleteDown_Green,00:12:00:36,00:12:01:04,Child A,CompleteDown_Green
2145,00:09:02:38,00:09:04:16,Child B,CompleteDown_Green,00:09:02:38,00:09:04:12,Child B,CompleteDown_Green
2145,00:09:05:22,00:09:07:06,Child B,CompleteDown_Green,00:09:06:30,00:09:07:04,Child B,CompleteDown_Green
2145,00:09:23:42,00:09:25:20,Child B,CompleteDown_Green,00:09:23:42,00:09:25:18,Child B,CompleteDown_Green
2145,00:09:26:48,00:09:28:12,Child B,CompleteDown_Green,00:09:27:10,00:09:28:10,Child B,CompleteDown_Green
2145,00:09:29:38,00:09:33:40,Child B,CompleteDown_Green,00:09:29:38,00:09:33:30,Child B,CompleteDown_Green
2145,00:09:37:32,00:09:43:46,Child B,CompleteDown_Green,0,0,Child B,0
2145,00:09:45:20,00:09:47:42,Child B,CompleteDown_Green,00:09:45:20,00:09:47:40,Child B,CompleteDown_Green
2145,00:09:50:16,00:09:54:36,Child B,CompleteDown_Green,00:09:50:18,00:09:54:12,Child B,CompleteDown_Green
2145,00:09:56:02,00:09:57:30,Child B,CompleteDown_Green,00:09:56:02,00:09:57:44,Child B,CompleteDown_Green
2145,00:09:58:40,00:09:59:14,Child B,CompleteDown_Green,00:09:58:44,00:09:59:10,Child B,CompleteDown_Green
2145,00:09:59:46,00:10:00:18,Child B,CompleteDown_Green,00:10:00:06,00:10:00:16,Child B,CompleteDown_Green
2145,00:10:00:26,00:10:00:36,Child B,CompleteDown_Green,00:10:00:28,00:10:00:32,Child B,CompleteDown_Green
2145,00:10:00:42,00:10:00:48,Child B,CompleteDown_Green,0,0,Child B,0
2145,00:10:01:12,00:10:02:12,Child B,CompleteDown_Green,00:10:01:12,00:10:02:12,Child B,CompleteDown_Green
2145,00:10:09:06,00:10:09:22,Child B,CompleteDown_Blue,00:10:09:02,00:10:09:22,Child B,CompleteDown_Blue
2145,00:10:46:02,00:10:48:26,Child B,CompleteDown_Green,00:10:46:06,00:10:48:26,Child B,CompleteDown_Green
2145,00:10:51:12,00:11:04:04,Child B,CompleteDown_Green,00:10:51:14,00:11:04:02,Child B,CompleteDown_Green
2145,00:11:05:30,00:11:07:20,Child B,CompleteDown_Green,00:11:05:30,00:11:07:16,Child B,CompleteDown_Green
2145,00:11:08:44,00:11:11:36,Child B,CompleteDown_Green,00:11:08:46,00:11:11:36,Child B,CompleteDown_Green
